Ma tram,ten tram,TAB,Yeu To,tinh
740001,TT Phong tranh va Giam nhe thien tai,vrain_mua,Mua,Quang Tri
740002,Nam Thach Han,vrain_mua,Mua,Quang Tri
740003,Cam Tuyen,vrain_mua,Mua,Quang Tri
740004,Trung Son,vrain_mua,Mua,Quang Tri
740005,Huong Lap,vrain_mua,Mua,Quang Tri
86089,Con Co,young_dd,Huong Gio TB 2 phut,Quang Tri
86089,Con Co,young_dd2m,Huong Gio max 2 phut,Quang Tri
86089,Con Co,young_dd2s,Huong Gio max 2 giay,Quang Tri
86089,Con Co,young_ff,Toc Do Gio TB 2 Phut,Quang Tri
86089,Con Co,young_ff2m,Toc Do Gio max 2 phut,Quang Tri
86089,Con Co,young_ff2s,Toc Do Gio max 2 giay,Quang Tri
86515,Cua Viet,young_dd,Huong Gio TB 2 phut,Quang Tri
86515,Cua Viet,young_dd2m,Huong Gio max 2 phut,Quang Tri
86515,Cua Viet,young_dd2s,Huong Gio max 2 giay,Quang Tri
86515,Cua Viet,young_ff,Toc Do Gio TB 2 Phut,Quang Tri
86515,Cua Viet,young_ff2m,Toc Do Gio max 2 phut,Quang Tri
86515,Cua Viet,young_ff2s,Toc Do Gio max 2 giay,Quang Tri
86849,Dong Ha,young_dd,Huong Gio TB 2 phut,Quang Tri
86849,Dong Ha,young_dd2m,Huong Gio max 2 phut,Quang Tri
86849,Dong Ha,young_dd2s,Huong Gio max 2 giay,Quang Tri
86849,Dong Ha,young_ff,Toc Do Gio TB 2 Phut,Quang Tri
86849,Dong Ha,young_ff2m,Toc Do Gio max 2 phut,Quang Tri
86849,Dong Ha,young_ff2s,Toc Do Gio max 2 giay,Quang Tri
960753,Huong Phung,vrain_mua,Mua,Quang Tri
ARG0000032,Vinh Kim,mua_wb5,Mua,Quang Tri
ARG0000032,Vinh Kim,nguondataloger_wb5,Nguon dataloger,Quang Tri
TDQT_MUA01QT,Huong Linh TD Quang Tri,chuyendung_mua,Mua,Quang Tri
TDQT_MUA02QT,Huong Son TD Quang Tri,chuyendung_mua,Mua,Quang Tri
TDQT_MUA03QT,Dap tran TD Quang Tri,chuyendung_mua,Mua,Quang Tri
TDQT_NUOHLQT,Ha Luu TD Quang Tri,chuyendung_mucnuoc,Muc Nuoc,Quang Tri
TDQT_NUOTLQT,Thuong Luu TD Quang Tri,chuyendung_mucnuoc,Muc Nuoc,Quang Tri
