Ma tram,ten tram,TAB,Yeu To,tinh
556900,Cu Lao Cham,huonggio_oday,Huong Gio,Quang Nam
556900,Cu Lao Cham,khiap_oday,Khi Ap,Quang Nam
556900,Cu Lao Cham,mua_oday_khituong,Mua,Quang Nam
556900,Cu Lao Cham,nguondataloger_oday,Nguon dataloger,Quang Nam
556900,Cu Lao Cham,nhietdo_oday,Nhiet Do,Quang Nam
556900,Cu Lao Cham,tocdogio_avg10_oday,Toc Do Gio AVG10,Quang Nam
556900,Cu Lao Cham,tocdogio_max60_oday,Toc Do Gio max 60,Quang Nam
556900,Cu Lao Cham,tocdogio_oday,Toc Do Gio,Quang Nam
558300,Tien Phuoc,mua_oday_domua,Mua,Quang Nam
558300,Tien Phuoc,nguondataloger_oday,Nguon dataloger,Quang Nam
558400,Nui Thanh,mua_oday_domua,Mua,Quang Nam
558400,Nui Thanh,nguondataloger_oday,Nguon dataloger,Quang Nam
558500,Xuan Binh,mua_oday_domua,Mua,Quang Nam
558500,Xuan Binh,nguondataloger_oday,Nguon dataloger,Quang Nam
558600,Thang Binh,mua_oday_domua,Mua,Quang Nam
558600,Thang Binh,nguondataloger_oday,Nguon dataloger,Quang Nam
577172,Phuoc Thanh,vrain_mua,Mua,Quang Nam
602147,Duy Son,vrain_mua,Mua,Quang Nam
611821,Cau Vinh Dien,vrain_mua,Mua,Quang Nam
618900,Cau Huong An,vrain_mua,Mua,Quang Nam
804318,Dai Chanh,vrain_mua,Mua,Quang Nam
86012,Hoi An,young_dd,Huong Gio TB 2 phut,Quang Nam
86012,Hoi An,young_dd2m,Huong Gio max 2 phut,Quang Nam
86012,Hoi An,young_dd2s,Huong Gio max 2 giay,Quang Nam
86012,Hoi An,young_ff,Toc Do Gio TB 2 Phut,Quang Nam
86012,Hoi An,young_ff2m,Toc Do Gio max 2 phut,Quang Nam
86493,Tam Ky,young_dd,Huong Gio TB 2 phut,Quang Nam
86493,Tam Ky,young_dd2m,Huong Gio max 2 phut,Quang Nam
86493,Tam Ky,young_dd2s,Huong Gio max 2 giay,Quang Nam
86493,Tam Ky,young_ff,Toc Do Gio TB 2 Phut,Quang Nam
86493,Tam Ky,young_ff2m,Toc Do Gio max 2 phut,Quang Nam
86493,Tam Ky,young_ff2s,Toc Do Gio max 2 giay,Quang Nam
896821,Ka Dang,vrain_mua,Mua,Quang Nam
906221,DM Ho Trung Loc,vrain_mua,Mua,Quang Nam
909143,Cau Ha Tan,vrain_mua,Mua,Quang Nam
920001,Tien Lanh,vrain_mua,Mua,Quang Nam
920002,Phuoc Cong,vrain_mua,Mua,Quang Nam
920003,Dai Son,vrain_mua,Mua,Quang Nam
920004,Ho Dong Tien,vrain_mua,Mua,Quang Nam
920006,Ho Nuoc Ron,vrain_mua,Mua,Quang Nam
920007,Ho Phu Loc,vrain_mua,Mua,Quang Nam
920008,Ho An Long,vrain_mua,Mua,Quang Nam
920009,Tam Lanh,vrain_mua,Mua,Quang Nam
